Identifier,Identifier ARK#1,Title#1,Creator#1,CreatorLink#1,Creator#2,CreatorLink#2,Creator#3,CreatorLink#3,Creator#4,CreatorLink#4,Creator#5,CreatorLink#5,Creator#6,CreatorLink#6,Creator#7,CreatorLink#7,Creator#8,CreatorLink#8,Date#1,Extent#1,Format#2,FormatLink#2,Format#3,FormatLink#3,Description#1,Glacier Name#1,Glacier Latitude#1,Glacier Longitude#1,Glacier Name#2,Glacier Latitude#2,Glacier Longitude#2,Glacier Name#3,Glacier Latitude#3,Glacier Longitude#3,Glacier Name#4,Glacier Latitude#4,Glacier Longitude#4,Glacier Name#5,Glacier Latitude#5,Glacier Longitude#5,Glacier Name#6,Glacier Latitude#6,Glacier Longitude#6,Coverage#1,CoverageLink#1,Coverage#2,CoverageLink#2,Coverage#3,CoverageLink#3,Subject#1,SubjectLink#1,Subject#2,SubjectLink#2,Subject#3,SubjectLink#3,Type#1,TypeLink#1,Language#1,LanguageLink#1,Relation#1,RelationLink#1,Collection Name#1,Rights#1,RightsLink#1,Source#1,SourceLink#1,Source#2,SourceLink#2,ln_RECORDID
narv_barryRogerG_5025_102_01.pdf,https://ark.colorado.edu/ark:/47540/9x2v2g80m8x7,Field Notes I,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1890-06-21/1890-07-16,40 unnumbered pages,notebooks,http://vocab.getty.edu/page/aat/300264354,field notes,http://vocab.getty.edu/page/aat/300027201,"Handwritten notes that mostly contain numbers pertaining to elevation and angles of various peaks or glaciers. Page 38 seems to be an inventory list specifying items such as ""pliers,” “cold chisels,” “rods with red and white flags,” and “thermometers.” Pyramid Peak often mentioned, but names of glaciers are difficult to locate throughout notes.",Chilkat Glacier,59.6901429,-135.5986824,,,,,,,,,,,,,,,,"Chilkat Glacier (Skagway, Alaska, United States, North America) (glacier)",GNIS: 1421025,"Pyramid Peak (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1408405,,,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh95010191,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Ice,http://id.loc.gov/authorities/subjects/sh85063965,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,1
narv_barryRogerG_5025_102_02.pdf,https://ark.colorado.edu/ark:/47540/t67h2q81k45x,Field Notes II,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1890-07-17/1890-08-06,44 unnumbered pages,notebooks,http://vocab.getty.edu/page/aat/300264354,field notes,http://vocab.getty.edu/page/aat/300027201,"Handwritten notes that mostly contain numbers pertaining to elevation and angles of various peaks or glaciers. There are observations throughout, organized by date, that specify the way glaciers look, notes with their changes, and campsite details.",Adams Glacier,58.7826082,-135.8399205,,,,,,,,,,,,,,,,"Adams Glacier (Skagway, Alaska, United States, North America) (glacier)",GNIS: 1420010,"Pyramid Peak (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1408405,,,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Ice,http://id.loc.gov/authorities/subjects/sh85063965,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,2
narv_barryRogerG_5025_102_03.pdf,https://ark.colorado.edu/ark:/47540/3s633f21b5zw,Field Notes III,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1890-08-08/1890-11-15,44 unnumbered pages,notebooks,http://vocab.getty.edu/page/aat/300264354,field notes,http://vocab.getty.edu/page/aat/300027201,"Handwritten notes that mostly contain numbers pertaining to elevation and angles of various peaks or glaciers. There are observations throughout, organized by date, that specify the way glaciers look, notes with their changes, and campsite details. Pyramid Peak often mentioned, but names of glaciers are difficult to locate throughout notes.",,,,,,,,,,,,,,,,,,,"Pyramid Peak (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1408405,,,,,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Ice,http://id.loc.gov/authorities/subjects/sh85063965,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,3
narv_barryRogerG_5025_102_04.pdf,https://ark.colorado.edu/ark:/47540/3b7g6p44s4hb,Field Notes I,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1892-07-08/1892-07-20,46 unnumbered pages,notebooks,http://vocab.getty.edu/page/aat/300264354,field notes,http://vocab.getty.edu/page/aat/300027201,"Handwritten notes that mostly contain numbers pertaining to elevation and angles of various peaks or glaciers. There are observations throughout, organized by date, that specify the way glaciers look, notes with their changes, weather, and campsite details.",Muir Glacier,59.2059482,-136.4444768,,,,,,,,,,,,,,,,"Muir Glacier (Hoonah-Angoon Census Area, Alaska, United States, North America) (glacier)",GNIS: 1423833,,,,,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Ice,http://id.loc.gov/authorities/subjects/sh85063965,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,4
narv_barryRogerG_5025_102_05.pdf,https://ark.colorado.edu/ark:/47540/m2673k12r6r1,Field Notes II,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1892-07-21/1892-08-06,44 unnumbered pages,notebooks,http://vocab.getty.edu/page/aat/300264354,field notes,http://vocab.getty.edu/page/aat/300027201,"Handwritten notes that mostly contain numbers pertaining to elevation and angles of various peaks or glaciers. There are observations throughout, organized by date, that specify the way glaciers look, notes with their changes, weather, and campsite details.",Muir Glacier,59.2059482,-136.4444768,,,,,,,,,,,,,,,,"Muir Glacier (Hoonah-Angoon Census Area, Alaska, United States, North America) (glacier)",GNIS: 1423833,,,,,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Ice,http://id.loc.gov/authorities/subjects/sh85063965,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,5
narv_barryRogerG_5025_102_06.pdf,https://ark.colorado.edu/ark:/47540/mp700676w2vf,Field Notes III,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1892-08-10/1892-08-23,40 unnumbered pages,notebooks,http://vocab.getty.edu/page/aat/300264354,field notes,http://vocab.getty.edu/page/aat/300027201,"Handwritten notes that mostly contain numbers pertaining to elevation and angles of various peaks or glaciers. There are observations throughout, organized by date, that specify the way glaciers look, notes with their changes, weather, and campsite details.",Muir Glacier,59.2059482,-136.4444768,,,,,,,,,,,,,,,,"Muir Glacier (Hoonah-Angoon Census Area, Alaska, United States, North America) (glacier)",GNIS: 1423833,,,,,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Ice,http://id.loc.gov/authorities/subjects/sh85063965,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,6
narv_barryRogerG_5025_102_07.pdf,https://ark.colorado.edu/ark:/47540/9s5t7z48r8dr,Field Notes IV,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1892-08-26/1892-09-11,40 unnumbered pages,notebooks,http://vocab.getty.edu/page/aat/300264354,field notes,http://vocab.getty.edu/page/aat/300027201,"Handwritten notes that mostly contain numbers pertaining to elevation and angles of various peaks or glaciers. There are observations throughout, organized by date, that specify the way glaciers look, notes with their changes, weather, and campsite details.",Muir Glacier,59.2059482,-136.4444768,,,,,,,,,,,,,,,,"Muir Glacier (Hoonah-Angoon Census Area, Alaska, United States, North America) (glacier)",GNIS: 1423833,"Queen Inlet (Hoonah-Angoon Census Area, Alaska, United States, North America) (bay)",GNIS: 1424706,,,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Ice,http://id.loc.gov/authorities/subjects/sh85063965,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,7
narv_barryRogerG_5025_103_01.pdf,https://ark.colorado.edu/ark:/47540/5g3h4k8133gw,Expedition Notebook: Sketches,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1890,60 unnumbered pages,sketchbooks,http://vocab.getty.edu/page/aat/300027354,field notes,http://vocab.getty.edu/page/aat/300027201,A sketchbook containing pencil drawings of various peaks and glaciers around Alaska. Sketches stop appearing at page 36.,Muir Glacier,59.2059482,-136.4444768,Taku Glacier,58.6471805,-134.281042,,,,,,,,,,,,,"Pyramid Peak (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1408405,"Mount Fremont Morse (Juneau, Alaska, United States, North America) (summit)",GNIS: 1399400,"Gale Peak (Juneau, Alaska, United States, North America) (summit)",GNIS: 1422084,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Drawings,http://id.loc.gov/authorities/subjects/sh99003022,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,8
narv_barryRogerG_5025_103_02.pdf,https://ark.colorado.edu/ark:/47540/fh6g1v2486km,Sketches I,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1890-07-04/1890-07-24,42 unnumbered pages,sketchbooks,http://vocab.getty.edu/page/aat/300027354,field notes,http://vocab.getty.edu/page/aat/300027201,A sketchbook containing pencil drawings of various peaks and glaciers around Alaska.,Muir Glacier,59.2059482,-136.4444768,,,,,,,,,,,,,,,,"Willoughby Island (Hoonah-Angoon Census Area, Alaska, United States, North America) (island)",GNIS: 1415775,"Black Mountain (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1420480,"Red Mountain (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1424765,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Drawings,http://id.loc.gov/authorities/subjects/sh99003022,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,9
narv_barryRogerG_5025_103_03.pdf,https://ark.colorado.edu/ark:/47540/7902395168s4,Sketches II,"Reid, Harry Fielding, 1859-1944",http://id.loc.gov/authorities/names/nr95039863,,,,,,,,,,,,,,,1890-08-09/1890-09-07,44 unnumbered pages,sketchbooks,http://vocab.getty.edu/page/aat/300027354,field notes,http://vocab.getty.edu/page/aat/300027201,A sketchbook containing pencil drawings of various peaks and glaciers around Alaska.,Muir Glacier,59.2059482,-136.4444768,,,,,,,,,,,,,,,,"Red Mountain (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1424765,"Black Mountain (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1420480,"Pyramid Peak (Hoonah-Angoon Census Area, Alaska, United States, North America) (summit)",GNIS: 1408405,Glaciers--Alaska,http://id.loc.gov/authorities/subjects/sh85055067,Scientific expeditions,http://id.loc.gov/authorities/subjects/sh85118684,Drawings,http://id.loc.gov/authorities/subjects/sh99003022,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,English,http://id.loc.gov/vocabulary/iso639-2/eng,Roger G. Barry Glaciology Collection ArchivesSpace finding aid,https://archives.colorado.edu/repositories/2/archival_objects/140272,Roger G. Barry Glaciology Collection Expedition Notebooks and Reports 1890-1975,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,National Snow and Ice Data Center (U.S.),http://id.loc.gov/authorities/names/no91010713,American Geographical Society of New York. World Data Center A: Glaciology,http://id.loc.gov/authorities/names/n84146756,10
